,company_name,location,job_title,job_description,salary_estimate,other_details,rating
558,Boston Consulting Group,Gurgaon,"Software Engineering Director, India - X Delivery","14+ years of technology and software engineering in a complex and fast-paced business environment (ideally an agile environment) with exposure to a variety of……
Skills: CI/CD, Azure, Oracle, Management, Node.js",₹3L - ₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
559,CRISIL,Pune,Data Analyst,"Employ statistical techniques to scrutinize data and produce actionable business insights. Engage with managers from various departments to specify data……
Skills: Data analysis skills, SQL, Analysis skills, Python",₹2L - ₹9L (Glassdoor Est.),"Size
1001 to 5000 Employees
Founded
1987
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",3.8
560,Vertoz,Mumbai,Data Science Intern - Vertoz,"Collaboration: Work closely with cross-functional teams to understand business requirements and deliver data-driven solutions.…
Skills: Tableau, Databases, SQL, Analysis skills, Database management",₹10L (Glassdoor Est.),"Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.7
561,Amex,Gurgaon,Analyst-Data Analytics,"Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need. The leader will collaborate with stakeholders across……
Skills: Microsoft Powerpoint, Data mining, CSS, Apache Hive, Microsoft Office",₹5L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1850
Type
Company - Public
Industry
Financial Transaction Processing
Sector
Finance
Revenue
$10+ billion (USD)",4.1
562,Caterpillar,Bengaluru,Data Engineer,"The data engineer will work with data scientists, business intelligence analysts, and others as part of a team that assembles large, complex data sets,……
Skills: Statistics, Data modeling, Azure, Data structures, Git",₹5L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1925
Type
Company - Public
Industry
Machinery Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
563,Optum,Gurgaon,Data Scientist,"At least 3-4 years hands on experience of solving real world business problems leveraging data science tools. Proven excellent interpersonal and team skills.…
Skills: Microsoft Powerpoint, TensorFlow, Microsoft Excel, Microsoft Access, R",₹4L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
--
Type
Company - Public
Industry
Healthcare Services & Hospitals
Sector
Healthcare
Revenue
$10+ billion (USD)",3.5
564,Amex,Gurgaon,Analyst-Data Science,"We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. Excellent written, oral communication skills.…
Skills: Computer science, Big data, Apache Hive, Java, Analysis skills",₹5L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1850
Type
Company - Public
Industry
Financial Transaction Processing
Sector
Finance
Revenue
$10+ billion (USD)",4.1
565,Maskoid Technologies,Vadodara,Data Analytics - Fresher,"Fetch relevant companies from target industry verticals on a daily basis. Extract and compile data from primary and secondary sources to fill in missing……
Skills: Power BI, Research, Tableau, SQL, Analysis skills",₹6L - ₹9L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.5
566,Ecozen Solutions,Pune,Data Science Intern,"Compile, verify accuracy and sort information according to priorities to prepare source data for computer entry.…
Skills: Microsoft Office, Data entry, Clerical experience, Data science",₹4L - ₹7L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
--
Type
Company - Private
Industry
Electronics Manufacturing
Sector
Manufacturing
Revenue
Unknown / Non-Applicable",3.8
567,Thoucentric,Bengaluru,Junior Data Analyst,"Building capabilities that address a market need, basis our ongoing research efforts. Solving a specific use case for a current or potential client based on……
Skills: Data analysis skills, Apache Hive, SQL, Analysis skills, Presentation skills",₹5L - ₹9L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
2015
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
Unknown / Non-Applicable",4.1
568,Transorg Analytics,Gurgaon,Data Science Ops Associate,"Prior experience in organizing datasets, case studies, popular problems in ML is mandatory. Pickl (TransOrg’s education brand) is looking for an operations……
Skills: Learning technology, Big data, Git, Machine learning, Deep learning",₹10L (Glassdoor Est.),"Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
Unknown / Non-Applicable",3.5
569,Kennametal,Bengaluru,Analyst Advanced Analytics and Data Science-India,"Collaborate with IT and business stakeholders to implement technology solutions that support commercial excellence initiatives. Pricing and Margin Analysis:…
Skills: Power BI, Microsoft Excel, Business analysis, Tableau, SQL",₹3L - ₹6L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
1938
Type
Company - Public
Industry
Machinery Manufacturing
Sector
Manufacturing
Revenue
$2 to $5 billion (USD)",3.6
570,Boston Consulting Group,Delhi,Global IT Software Engineer Senior Manager,"As a valued member of our dynamic squad, you will play a crucial role in developing and implementing technical solutions across the entire spectrum of BCG’s……
Skills: CI/CD, Azure, Oracle, CSS, Bootstrap",₹3L - ₹6L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
571,Clarivate,Noida,Associate Data Scientist,"Participate in impactful, real-world projects at Clarivate that push the boundaries of AI and data science in IP.…
Skills: Analysis skills, Machine learning, Data science, AI, Python",₹5L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
2016
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",3.6
572,Syneos - Clinical and Corporate - Prod,Salem,Sr Solutions Architect (Data Modeler),"The Solution Architect will be responsible for designing and overseeing the implementation of complex software solutions that address our customers' business……
Skills: Data modeling, Azure, Oracle, Cloud architecture, Kubernetes",₹3L - ₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
--
Type
Company - Private
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
Unknown / Non-Applicable",3.8
573,Boston Consulting Group,Delhi,Global IT Software Engineer Senior Specialist,"Provide exceptional Level 3 technical support for enterprise AI tools, working closely with internal teams and vendors to ensure smooth operations and rapid……
Skills: CI/CD, React, Kubernetes, Git, Test-driven development",₹5L - ₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
574,Amex,Gurgaon,Analyst-Data Analytics,"Deliver read out of campaigns uncovering insights and learnings that can be utilized to further optimize the channels. Strong programming skills are preferred.…
Skills: Computer science, Big data, Spark, Apache Hive, SQL",₹6L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1850
Type
Company - Public
Industry
Financial Transaction Processing
Sector
Finance
Revenue
$10+ billion (USD)",4.1
575,Atlassian,Bengaluru,"Software Engineer, Data Science","You'll be responsible for the design, build and maintenance of tools that enable our Support Engineers and related teams to be more effective and efficient at……
Skills: Software deployment, Microservices, SQL, Docker, Machine learning",₹6L - ₹7L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
2002
Type
Company - Public
Industry
Software Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.8
576,VARAISYS PRIVATE LIMITED,Noida,Data Scientist ( Freshers) BSc Hons.( Statistics),"Job type:* Full Time, Permanent. A degree in B.Sc. (Hons.) Statistics from a renowned university. Excellent verbal and written communication in English are……
Skills: Big data, R, English, SQL, Data science",₹3L - ₹6L (Glassdoor Est.),,
577,Boston Consulting Group,Bengaluru,"Software Engineering Senior Manager, India - X Delivery","As a part of BCG's X OPERATE team you will be working to accelerate a growing business focused on Hyper Care, premium Maintenance / Support for BCG Software and……
Skills: Azure, Management, Multilingual, Spark, PaaS",₹5L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
578,REIZEND PRIVATE LIMITED,Thiruvananthapuram,Data Science & AI ML Engineer,"Certification or experience in data analysis, data mining, and statistical modelling is an added advantage. Familiarity with Jira and Agile methodology will be……
Skills: Jira, TensorFlow, Computer science, Power BI, Data mining",₹3L - ₹7L (Glassdoor Est.),,
579,Wahy Lab Solutions,Cochin,Data Science Intern,"hiring Interns for Data Science , Freshers can apply Job Types: Full-time, Permanent, Fresher Schedule: * Monday to Friday Work Location: In……
Skills: Data science",₹3L - ₹7L (Glassdoor Est.),"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.5
580,Boston Consulting Group,Delhi,Global IT Infra/Cloud Engineer Senior Specialist,"Work collaboratively with application development, data protection, information security, and risk management teams to understand and implement data and cloud……
Skills: Jira, CI/CD, Azure, Customer service, DevOps",₹6L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
581,WSD Consultant,Bengaluru,Junior Data Scientist/,"candidate should qualify checklist written below: Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ?……
Skills: Machine learning, Content development, Data science, Training & development, AI",₹5L - ₹10L (Glassdoor Est.),"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",5.0
582,IPCS Global solutions pvt ltd,India,Python & Data Science Trainer,"Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine……
Skills: Power BI, R, Tableau, Java, Machine learning",₹85T - ₹9L (Glassdoor Est.),,
583,AS Global Soft Tech,India,Data Science AI-Intern,"AS Global Soft Tech is currently providing an internship based on below Technolgies Datascience with AI Knowledge AS Global Soft Tech is a Design &……
Skills: iOS, Data science, AI",₹5L - ₹9L (Glassdoor Est.),,
584,Netomi,Gurgaon,Data Scientist - I (Prompt Engineer),"Benchmarking: Conduct benchmarking studies to compare the performance of different prompts and identify best practices.…
Skills: TensorFlow, Machine learning, Natural language processing, Data science, AI",₹5L - ₹9L (Glassdoor Est.),"Size
51 to 200 Employees
Founded
2015
Type
Company - Private
Industry
Software Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.3
585,Clarivate,Noida,Senior Healthcare Research & Data Analyst,"The role comprises three broad functions: 1) market research and insights generation; 2) project management and execution; and 3) client service.…
Skills: Project management",₹4L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
2016
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",3.6
586,Globussoft Technologies,India,Data Science,"Develop custom data models and algorithms to apply to data sets. Extending company’s data with third party sources of information when needed.…
Skills: Data mining, NoSQL, SQL, Machine learning, Deep learning",₹36T - ₹64T (Glassdoor Est.),"Size
201 to 500 Employees
Founded
2009
Type
Company - Private
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$5 to $25 million (USD)",4.2
587,Neural Niti Private Limited,Delhi,AI Research Intern,"Lead the research and development initiatives to innovate and refine AI technologies, ensuring alignment with industry needs.…
Skills: Laboratory experience, Machine learning, AI, Research & development, Python",₹6L - ₹7L (Glassdoor Est.),,
588,MSCI Inc,Bengaluru,Climate Data Analyst,"Collect data for climate datasets that includes Scope 1, 2 and 3 emissions, GHG reduction targets, TCFD data, Carbon Credits and Carbon Projects.…
Skills: Microsoft Excel, Research, Data entry, SharePoint",₹5L - ₹9L (Glassdoor Est.),"Size
1001 to 5000 Employees
Founded
1969
Type
Company - Public
Industry
Investment & Asset Management
Sector
Finance
Revenue
$2 to $5 billion (USD)",4.2
589,Elsevier,Gurgaon,Data Research Analyst,"Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive.…
Skills: Research, Analysis skills, Data science, Communication skills",₹10L - ₹15L (Employer Est.),"Size
5001 to 10000 Employees
Founded
1880
Type
Subsidiary or Business Segment
Industry
Publishing
Sector
Media and communication
Revenue
$2 to $5 billion (USD)",4.6
590,SHL,Gurgaon,Associate - Data Operations,"Employee benefits package that takes care of you and your family. As a Data Operations Associate, you will be involved in creating standardized and reliable……
Skills: Databases, SQL, Machine learning, Communication skills, Python",₹6L - ₹20L (Employer Est.),"Size
1001 to 5000 Employees
Founded
--
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.6
591,Altair Engineering,Bengaluru,Intern – Global Academic Program – Data Science,"Ability to convey Data science, AI and its related mathematical concepts and considerations to beginners. Help with administering student access to our software……
Skills: Data mining, R, English, Machine learning, Data science",₹3L - ₹4L (Glassdoor Est.),"Size
1001 to 5000 Employees
Founded
1985
Type
Company - Public
Industry
Software Development
Sector
Information Technology
Revenue
$500 million to $1 billion (USD)",4.3
592,ADCI - Karnataka - A66,Bengaluru,"Data Associate II Quality, ML Data Ops","Perform data collection and curation, ultimately resulting in the generation of high-quality data that can be utilized for AI models.…
Skills: Image processing, Microsoft Excel, English, Microsoft Office, Analysis skills",₹3L - ₹6L (Glassdoor Est.),"Size
10000+ Employees
Founded
1994
Type
Company - Public
Industry
Internet & Web Services
Sector
Information Technology
Revenue
$10+ billion (USD)",3.7
593,Oracle,Noida,Software Developer,"As a member of the LSGIU development organization, you will contribute to a mission-critical platform that enables our customers to develop solutions that……
Skills: Oracle, Software troubleshooting",₹2L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1977
Type
Company - Public
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
$10+ billion (USD)",3.8
594,Schnell Technocraft,Noida,Data AI Intern,"Ability to understand the business requirements thoroughly and convert those requirements into proper technical solutions to achieve the required goals.…
Skills: Computer science, Power BI, Image processing, Tableau, SQL",₹2L - ₹4L (Glassdoor Est.),,
595,Wellorgs Infotech Pvt. Ltd.,Remote,AI/ML Intern,"Experience with data mining, analytics, and linked data concepts. Implement AI solutions to improve data analysis, predictive modeling, and decision-making……
Skills: TensorFlow, Data mining, Big data, R, Java",₹10L (Glassdoor Est.),,
596,MNJ Software,Remote,Data Science - Intern,"(Master) student who has successfully passed semesters of computer science, data science, artificial intelligence or studies with strong focus on IT and data……
Skills: Power BI, Azure, English, Tableau, Administrative experience",₹5L - ₹10L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.6
597,Bijak,Gurgaon,Intern,"Currently enrolled in a bachelor's degree program in Computer Science, Information Technology, or a related field (freshers or final year students preferred).…
Skills: SQL, Analysis skills, Quality assurance, Software testing, Communication skills",₹6L - ₹9L (Glassdoor Est.),"Size
51 to 200 Employees
Founded
2019
Type
Company - Private
Industry
Financial Transaction Processing
Sector
Finance
Revenue
Unknown / Non-Applicable",4.2
598,Procter & Gamble,Mumbai,Internship | Data Science,"You’ll be either in the central data scientist team taking on retail and media analytics problems that are general across brands, or you’ll be in the embedded……
Skills: Big data, Spark, Git, SQL, Machine learning",₹50T - ₹1L (Employer Est.),"Size
10000+ Employees
Founded
1837
Type
Company - Public
Industry
Consumer Product Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
599,Pfizer,Chennai,"Junior Associate, Associate Statistical Data Scientist","Active self-learning and delivering on solutions in the space of statistical programming and data standards. Understanding of clinical data and drug development……
Skills: Statistics, SAS, R, Less, Communication skills",₹10L (Glassdoor Est.),"Size
Unknown
Founded
1849
Type
Company - Public
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
$10+ billion (USD)",3.8
600,Boston Consulting Group,Delhi,Global IT Software Engineer Senior Manager (Gen AI / LLM),"Agile Coaches and Scrum Leads, that will ensure that you adopt agile principles, mindset and ways of working into your daily routine and who will coach you……
Skills: CI/CD, Cloud infrastructure, Azure, Node.js, React",₹4L - ₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
601,Boston Consulting Group,Delhi,Data Architect,"Keep pace with industry trends to ensure our cloud data center designs and infrastructure layer architectures remain cutting-edge and client-focused.…
Skills: Azure, Cloud architecture, PCI, Kubernetes, Big data",₹3L - ₹5L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
602,Behr Paint Company,Maharashtra,Software Engineer (PowerApp Developer),"Solution Architecture: Collaborate with business stakeholders, technical teams, and solution architects to understand business requirements, define solution……
Skills: Power BI, Azure, Multilingual, Kanban, Software deployment",₹9L - ₹10L (Glassdoor Est.),"Size
1001 to 5000 Employees
Founded
1947
Type
Subsidiary or Business Segment
Industry
Consumer Product Manufacturing
Sector
Manufacturing
Revenue
Unknown / Non-Applicable",3.9
603,American Express Global Business Travel,Gurgaon,Software Development Engineer III,"Develop the skills you want when the time is right for you, with global tuition assistance, access to over 20,000 courses on our learning platform, leadership……
Skills: CSS, Software troubleshooting, React, Data structures, NoSQL",₹10T - ₹45T (Employer Est.),"Size
10000+ Employees
Founded
1915
Type
Company - Public
Industry
Travel Agencies
Sector
Hotel and travel accommodation
Revenue
Unknown / Non-Applicable",4.2
604,Adobe,Bengaluru,Computer Scientist,"Experience : 3-5 years of software engineering experience, including at least 2 years in integrating machine learning models and maintaining ML pipelines,……
Skills: TensorFlow, Machine learning, Natural language processing, Software development, AI",₹4L (Employer Est.),"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",4.2
605,Boston Consulting Group,Bengaluru,Data Engineer - X Delivery,"You will collaborate closely with cross-functional teams, including data scientists, analysts, and business stakeholders, to deliver high-quality data solutions……
Skills: Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",₹4L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
606,Boston Consulting Group,Gurgaon,"Senior Data Analyst, Client Ops, Predictive, India- X Delivery","As a part of BCG's X OPERATE team you will be working to accelerate a growing business focused on Hyper Care, premium Maintenance / Support for BCG Software and……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",₹5L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
607,Boston Consulting Group,Gurgaon,"Data Analyst, Predictive, India- X Delivery","Our data analytics and artificial intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
608,Syneos - Clinical and Corporate - Prod,Salem,Senior Apex Developer,"The successful candidate will be responsible for designing, developing, and maintaining Oracle database solutions to support our organization's critical……
Skills: AJAX, Performance tuning, Azure, Oracle, Clinical research",-1,"Size
10000+ Employees
Founded
--
Type
Company - Private
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
Unknown / Non-Applicable",3.8
609,ANZ Banking Group,Bengaluru,Data Engineer,"4+ years of industry experience in data and/or software engineering, data science, business intelligence, or related fields.…
Skills: CI/CD, Data modeling, Rust, Go, Business intelligence",-1,"Size
5001 to 10000 Employees
Founded
1835
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
Unknown / Non-Applicable",4.0
610,Airtel India,Gurgaon,Data Analyst,"We as an Organization strongly believe in data driven decision making and thrive on solving complex business problems with Analytics & Data Science.…
Skills: Statistics, Data structures, R, Tableau, SQL",-1,"Size
10000+ Employees
Founded
1995
Type
Company - Public
Industry
Telecommunications Services
Sector
Telecommunications
Revenue
$10+ billion (USD)",4.0
611,Barclays,Pune,Compliance Developer Summer Interns 2025 India,"You’ll spend time with the Compliance team building excellent foundational knowledge while getting to know our business and our people.…
Skills: Project management, Machine learning, Risk management, Data science, Data visualization",-1,"Size
10000+ Employees
Founded
1690
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
$10+ billion (USD)",3.9
612,Galytix,Gurgaon,Data Architect/Data Modeler,"Creation of solutions that meet business needs and move towards end state architecture. Work closely with Product Owners, Solution Architects and the Data……
Skills: English, Financial services, Communication skills",-1,"Size
51 to 200 Employees
Founded
2015
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.4
613,Boston Consulting Group,Bengaluru,"Data Analyst, Optimization, India - X Delivery","You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.…
Skills: Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
614,Boston Consulting Group,Bengaluru,Data Engineering Lead - X Delivery,"Project Ownership: Taking full ownership of data engineering projects, from conception through execution to delivery, ensuring alignment with business……
Skills: Microsoft Powerpoint, Azure, Cassandra, Big data, Spark",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
615,RajYug Solutions,Pune,Interns / Freshers - 3 Months Internship,"Research and Analysis: Conduct research and analyze data to support project requirements and decision-making processes.…
Skills: Computer science, Databases, Software development, Data science, AI",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",1.8
616,Cognizant,Calcutta,Trainee - Junior Data Analyst,"Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse. For PV/Complaints Management Individuals in this role……
Skills: Data entry, SharePoint",-1,"Size
10000+ Employees
Founded
1994
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$10+ billion (USD)",3.7
617,Innovecture,Pune,Data Analyst,"O Stay updated with the latest industry trends and best practices in data analysis. O Perform data cleaning and data validation tasks to maintain data integrity……
Skills: Power BI, Azure, Big data, Spark, R",-1,"Size
51 to 200 Employees
Founded
2007
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$5 to $25 million (USD)",4.6
618,BOEING,Bengaluru,Associate Software Engineer,"Bachelor’s degree or higher in computer science, aerospace or other closely related field and 3-4 or more years' related work experience.…
Skills: CI/CD, Azure, Rust, Go, Node.js",-1,"Size
10000+ Employees
Founded
1916
Type
Company - Public
Industry
Aerospace and defence
Sector
Aerospace and defence
Revenue
$10+ billion (USD)",3.8
619,CODEC Networks,Delhi,Data Science & Analytic,"1 to 2 years developing and implementing data analytics methodologies with good interpersonal with excellent communication skills.…
Skills: Data mining, Big data, Spark, R, Apache Hive",-1,"Size
1 to 50 Employees
Founded
2011
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.8
620,Imurgence,Remote,Data Science/ ML /AI Technical Code Writer for Blogs,"Understanding the instructions specified, write code for a implementation. Creatively write the explanation for the code implementation.…
Skills: Data science, AI",-1,"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.0
621,Boston Consulting Group,Gurgaon,"Lead Data Scientist, India - BCG X","We are seeking a strong candidate with significant advanced analytics experience to fill an exciting Lead Data Scientist (LDS) position within BCG X. The LDS is……
Skills: Spark, Project management, Data science",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
622,Autodesk,Bengaluru,Data Analyst,"The EAX team is chartered with building innovative data products and analytics solutions to support business needs for Autodesk’s strategy, marketing, sales and……
Skills: Microsoft Powerpoint, Power BI, Data mining, Business intelligence, Big data",-1,"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
$5 to $10 billion (USD)",4.3
623,Deutsche Bank,Bengaluru,Analytics - Data Analyst,"BS or higher degree in a relevant field such as Computer Science, Economics, Finance or Mathematics. Support fellow Analysts, client services teams and wider……
Skills: Microsoft Excel, Microsoft Access, Microsoft SQL Server, SSRS, Tableau",-1,"Size
10000+ Employees
Founded
1870
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
$10+ billion (USD)",3.9
624,Amex,Gurgaon,Senior Analyst-Data Analytics,"Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need. Strong technical and analytical skills with ability to……
Skills: Computer science, Big data, Analysis skills, Analytics",-1,"Size
10000+ Employees
Founded
1850
Type
Company - Public
Industry
Financial Transaction Processing
Sector
Finance
Revenue
$10+ billion (USD)",4.1
625,OMFYS Technologies India Pvt Ltd,Pune,Data Analyst Trainee,"Should be an excellence in client relationship management and project co-ordination Excellent written and verbal communication skills Ability to quickly learn……
Skills: Microsoft Powerpoint, Data modeling, Microsoft Excel, SAS, R",-1,"Size
51 to 200 Employees
Founded
2013
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.3
626,Eoraa & Co.,Delhi,Data Scientist,"Proficient with Python/R. Strong communication and presentation skills. Knowledge of various analytical approaches.…
Skills: R, Communication skills, Python",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.7
627,Genpact,Gurgaon,Management Trainee - Data & Insights Analyst,"In this role, you'll be responsible for all the activities related to Power BI domain and for rapid simulation and understanding of existing applications and……
Skills: Power BI, Data modeling, Microsoft Excel, Azure, Oracle",-1,"Size
10000+ Employees
Founded
1997
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",3.9
628,Varuna Group,Gurgaon,Data Analyst & Data Scientist,"Analyzing Data or Information - Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts……
Skills: Pricing",-1,"Size
1001 to 5000 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.3
629,One Impression,Gurgaon,Data Analyst,"Data Insights: Deliver insights and analysis using statistical tools, and data visualization for business use cases, enabling data-driven decision-making for……
Skills: Power BI, Microsoft Excel, R, Data analysis skills, Apache Hive",-1,"Size
51 to 200 Employees
Founded
2017
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
$1 to $5 million (USD)",3.3
630,DTCC,Chennai,Lead DevSecOps Engineer,"Maintain and enhance the security of our infrastructure, applications, and systems, ensuring compliance with industry best practices and regulatory requirements……
Skills: CI/CD, System administration, Azure, Go, Kubernetes",-1,"Size
5001 to 10000 Employees
Founded
1973
Type
Company - Private
Industry
Financial Transaction Processing
Sector
Finance
Revenue
Unknown / Non-Applicable",3.7
631,Boston Consulting Group,Gurgaon,"Data Analyst, Optimization, India - X Delivery","You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.…
Skills: Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
632,Atlassian,Bengaluru,"Software Engineer, Data Science","You'll be responsible for the design, build and maintenance of tools that enable our Support Engineers and related teams to be more effective and efficient at……
Skills: Software deployment, Microservices, SQL, Docker, Machine learning",-1,"Size
5001 to 10000 Employees
Founded
2002
Type
Company - Public
Industry
Software Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.8
